category,fraction,average_dot_product,variance,second_best_category
frog,0.02163177297071712,0.30097163,5.44177e-05,lizard
iguana,0.030326215483063225,0.30557045,7.348542e-05,crocodile
camel,0.015163107741531612,0.30410713,4.4691453e-05,donkey
falcon,0.021701328510815885,0.30154577,2.607321e-05,hawk
eagle,0.017945329345482368,0.29926312,5.973402e-05,hawk
hawk,0.006399109689086736,0.29523036,2.7552895e-05,falcon
fox,0.015163107741531612,0.3077947,5.1857136e-05,raccoon
spider,0.014467552340543924,0.28802752,7.756857e-05,porcupine
porcupine,0.012311330597482089,0.31142694,0.00021352606,hedgehog
crocodile,0.014884885581136537,0.3078951,5.6578734e-05,iguana
chimpanzee,0.0158586631425193,0.30707312,3.5578745e-05,gorilla
crab,0.015093552201432844,0.3063592,6.73549e-05,squid
hyena,0.014954441121235307,0.3136083,7.3676885e-05,cheetah
cheetah,0.016206440843013144,0.3164423,5.477283e-05,leopard
wolf,0.015023996661334076,0.29684466,3.0040741e-05,fox
leopard,0.020588439869235586,0.30827677,6.20146e-05,jaguar
jaguar,0.006607776309383043,0.30773905,3.9261267e-05,leopard
owl,0.015023996661334076,0.3058102,4.0478175e-05,hawk
gorilla,0.014189330180148849,0.30509537,5.4359436e-05,chimpanzee
chinchilla,0.015441329901926688,0.32631972,0.00019312334,hippopotamus
grasshopper,0.015023996661334076,0.30336133,8.5627595e-05,iguana
bear,0.015302218821729151,0.2933679,4.7813763e-05,beaver
sheep,0.01766710718508729,0.29315186,0.00013111145,goat
squid,0.014258885720247617,0.28320077,0.00017693682,crab
snake,0.015093552201432844,0.28880978,3.9228096e-05,lizard
dolphin,0.015302218821729151,0.30568922,5.571192e-05,whale
mongoose,0.016067329762815608,0.3022598,0.00017494764,ferret
snail,0.015093552201432844,0.31566554,7.383285e-05,snake
goose,0.019336440147457744,0.30152285,8.90622e-05,duck
blackbird,0.014189330180148849,0.27909955,3.171902e-05,hawk
giraffe,0.015023996661334076,0.299657,3.4897417e-05,ostrich
walrus,0.011337553036099325,0.305989,0.000112978225,seal
seal,0.018640884746470056,0.30778918,6.519858e-05,otter
whale,0.015163107741531612,0.29855937,2.39381e-05,dolphin
otter,0.021005773109828197,0.31314152,0.00013955856,beaver
ostrich,0.012519997217778396,0.30427855,0.00014298757,goose
flamingo,0.017041107324198373,0.31392765,0.00014336256,ostrich
antelope,0.015093552201432844,0.3018857,6.621225e-05,deer
buffalo,0.009320442373235028,0.3034068,3.2296823e-05,bison
bison,0.020727550949433123,0.30286938,2.885985e-05,buffalo
hedgehog,0.018640884746470056,0.31880623,3.833913e-05,porcupine
koala,0.015023996661334076,0.3127807,3.559501e-05,lemur
peacock,0.015023996661334076,0.3182144,6.635101e-05,porcupine
cat,0.029839326702371844,0.261195,3.975199e-05,lynx
lemur,0.015093552201432844,0.31564632,5.1902734e-05,koala
lynx,0.014815330041037768,0.30020207,0.00014068712,leopard
deer,0.015232663281630383,0.29715824,5.3998e-05,antelope
penguin,0.015023996661334076,0.29430383,0.00019710152,seal
hippopotamus,0.01537177436182792,0.32297507,0.00013678538,elephant
ferret,0.01592821868261807,0.30003047,0.00012345293,mongoose
cow,0.016206440843013144,0.29543802,8.443906e-05,bison
goat,0.010711553175210406,0.27883884,3.161988e-05,sheep
donkey,0.015232663281630383,0.2984588,0.0001055835,camel
panda,0.015023996661334076,0.30554196,4.3233234e-05,bear
beaver,0.010641997635111637,0.2913384,8.853588e-05,otter
mole,0.006607776309383043,0.27274388,5.3912714e-05,beaver
kangaroo,0.015093552201432844,0.317645,7.0246686e-05,antelope
raccoon,0.015719552062321764,0.31532365,4.737989e-05,porcupine
butterfly,0.015023996661334076,0.2948542,6.417875e-05,grasshopper
dog,0.03157821520484107,0.25920948,3.991148e-05,goose
elephant,0.020031995548445435,0.30104005,3.119972e-05,walrus
duck,0.010920219795506713,0.29696923,2.5785652e-05,goose
bee,0.015023996661334076,0.29093096,4.8416634e-05,grasshopper
