file,label
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003262.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001667.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001873.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001262.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000582.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003877.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003323.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000707.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001100.jpg,Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001001.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003021.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003729.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004508.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004481.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004707.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002708.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001137.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000583.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000849.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003706.jpg,Large Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001555.jpg,Water Bottle
