category,fraction,average_dot_product,variance,second_best_category
Large Water Bottle,0.06137346566335842,0.2809599,0.0008150928,Water Bottle
Wine Bottle,0.1004724881877953,0.26349714,0.0006601486,Small Wine Bottle
Small Water Bottle,0.1508462288442789,0.27266636,0.00070382113,Water Bottle
Small Wine Bottle,0.11924701882452939,0.25894734,0.00056411454,Wine Bottle
Large Plastic Bottle,0.025624359391015223,0.2694289,0.0007736057,Large Water Bottle
Small Plastic Bottle,0.04159896002599935,0.2512621,0.00048505343,Plastic Bottle
Water Bottle,0.09004774880627985,0.2840262,0.0006705056,Small Water Bottle
Large Wine Bottle,0.03772405689857754,0.2602677,0.00092868286,Wine Bottle
Large Beer Bottle,0.0127996800079998,0.24726124,0.00043952093,Beer Bottle
Large Water Bottles,0.005274868128296793,0.2743996,0.00059455493,Water Bottles
Wine Bottles,0.048348791280218,0.26251513,0.0006173182,Large Wine Bottles
Water Bottles,0.013374665633359166,0.26792172,0.0006889629,Water Bottle
Small Soda Bottle,0.03377415564610885,0.2655308,0.0005122594,Soda Bottle
Soda Bottle,0.06997325066873328,0.260951,0.0005363745,Small Soda Bottle
Beer Bottle,0.06942326441838954,0.25607404,0.00059986766,Small Beer Bottle
Plastic Bottle,0.030774230644233895,0.27095824,0.00056391826,Small Plastic Bottle
Small Beer Bottle,0.01214969625759356,0.2508186,0.00049994903,Beer Bottle
Large Wine Bottles,0.014149646258843528,0.2516226,0.0008460675,Wine Bottles
Soda Bottles,0.03357416064598385,0.2640547,0.00052903575,Large Soda Bottles
Plastic Bottles,0.008049798755031125,0.24160044,0.0006034448,Plastic Bottle
Large Soda Bottles,0.004474888127796805,0.26050195,0.0011116379,Soda Bottles
Large Soda Bottle,0.0032249193770155747,0.26751783,0.0009584427,Soda Bottle
Large Beer Bottles,0.001724956876078098,0.23330882,0.00037399237,Beer Bottles
Large Plastic Bottles,0.0027499312517187072,0.24221954,0.00078082515,Plastic Bottles
Beer Bottles,0.00922476938076548,0.24915703,0.0004473689,Beer Bottle
